chamber,wheel,sector,station,avg_cluster_size,occupancy,avg_bx_dist,avg_no_of_clusters,avg_multiplicity,lumisections,type,avg_efficiency
W+2_RB3-_S06,2,6,3,1.74697,33713,0.00321277,1.00109,1.74887,1788,Col,91.58744812
W+2_RB4+_S06,2,6,4,1.63362,28108,0.00383587,1.00128,1.63571,1788,Col,55.411254883
W+2_RB4-_S06,2,6,4,1.7805,32608,0.00617014,1.00213,1.7843,1788,Col,55.797101974499995
W+2_RB1in_S07,2,7,1,2.05309,93900,0.00570666,1.00406,2.06143,1788,Col,52.369337082
W+2_RB1out_S07,2,7,1,2.09277,87528,0.00824885,1.00307,2.09919,1788,Col,58.11338233949999
W+2_RB2in_S07,2,7,2,2.02692,88465,0.00946271,1.00361,2.03424,1788,Col,0.0
W+2_RB2out_S07,2,7,2,1.87182,73817,0.0089005,1.00254,1.87658,1788,Col,0.0
W+2_RB3+_S07,2,7,3,1.96775,39107,0.00789977,1.00121,1.97013,1788,Col,93.0315933225
W+2_RB3-_S07,2,7,3,1.86377,36269,0.012333,1.00139,1.86636,1788,Col,90.8913917545
W+2_RB4+_S07,2,7,4,1.93894,33631,0.00962813,1.00063,1.94018,1788,Col,53.739839553500005
W+2_RB4-_S07,2,7,4,1.76835,33176,0.00938116,1.00133,1.77071,1788,Col,47.5806446075
W+2_RB1in_S08,2,8,1,2.11623,100466,0.00850992,1.00417,2.12505,1788,Col,53.921026229999995
W+2_RB1out_S08,2,8,1,2.02936,85219,0.00750125,1.00354,2.03654,1788,Col,57.024574279999996
W+2_RB2in_S08,2,8,2,1.77699,73612,0.0090525,1.00305,1.78242,1788,Col,69.9593200685
W+2_RB2out_S08,2,8,2,1.40028,51473,0.00924944,1.00215,1.4033,1788,Col,70.18152618399999
W+2_RB3+_S08,2,8,3,1.91095,40107,0.00609872,1.00124,1.91332,1788,Col,93.22807312
W+2_RB3-_S08,2,8,3,1.97191,39312,0.00652087,1.00065,1.9732,1788,Col,91.0161056515
W+2_RB4+_S08,2,8,4,0.0,0,0.0,0.0,0.0,1788,Col,0.0
W+2_RB4-_S08,2,8,4,1.83159,35793,0.00649882,1.00154,1.83441,1788,Col,58.333332062
W+2_RB1in_S09,2,9,1,2.40225,108745,0.00627375,1.00337,2.41034,1788,Col,52.440694809
W+2_RB1out_S09,2,9,1,2.18919,94166,0.00650951,1.00331,2.19645,1788,Col,59.210849762
W+2_RB2in_S09,2,9,2,2.14224,100201,0.00915038,1.00352,2.14977,1788,Col,80.6481590275
W+2_RB2out_S09,2,9,2,1.78141,76084,0.0113088,1.00289,1.78655,1788,Col,82.26043955499999
W+2_RB3+_S09,2,9,3,1.69624,32924,0.00334879,1.00119,1.69825,1788,Col,92.4819602965
